Entity,Year,Employees,Records,Method
21st Century Oncology,2016,5000,2200000,hacked
500px,2020,50,14870304,hacked
Accendo Insurance Co.,2020,300000,175350,poor security
Adobe Systems Incorporated,2013,11000,152000000,hacked
Adobe Inc.,2019,22000,7500000,poor security
Advocate Medical Group,2017,4700,4000000,lost / stolen media
AerServ (subsidiary of InMobi),2018,1500,75000,hacked
Affinity Health Plan Inc.,2013,550,344579,lost / stolen media
Airtel,2019,19000,320000000,poor security
Air Canada,2018,30000,20000,hacked
TD Ameritrade,2005,5000,200000,lost / stolen media
Ancestry.com,2021,3000,300000,poor security
Animal Jam,2020,100,46000000,hacked
Ankle & Foot Center of Tampa Bay Inc.,2021,780,156000,hacked
Anthem Inc.,2021,81000,80000000,hacked
AOL,2021,91250,92000000,inside job
AOL,2021,91250,20000000,accidentally published
AOL,2014,44500,2400000,hacked
Apple Inc./BlueToad,2021,147000,12367232,accidentally published
Apple,2021,147000,275000,hacked
Apple Health Medicaid,2021,1800,91000,poor security
Ashley Madison,2015,70,32000000,hacked
AT&T,2008,309000,113000,lost / stolen computer
AT&T,2010,269000,114000,hacked
Auction.co.kr,2008,1500,18000000,hacked
Automatic Data Processing,2005,43000,125000,poor security
AvMed Inc.,2009,1200,1220000,lost / stolen computer
Bailey's Inc.,2015,500,250000,hacked
The Bank of New York Mellon,2008,48200,12500000,lost / stolen media
Bank of America,2005,176000,1200000,lost / stolen media
Bell Canada,2017,52000,1900000,poor security
Bell Canada,2018,53000,100000,hacked
Benesse,2014,10000,35040000,hacked
Betfair,2010,2000,2300000,hacked
Bethesda Game Studios,2011,200,200000,hacked
Blank Media Games,2018,50,7633234,hacked
Blizzard Entertainment,2012,4700,14000000,hacked
BlueCross BlueShield of Tennessee,2009,5000,1023209,lost / stolen media
BMO and Simplii (Canada),2018,45000,90000,poor security
British Airways,2018,42000,500000,hacked
Department of Child Support Services,2012,9000,800000,lost / stolen media
Canva,2019,1000,140000000,hacked
Capcom,2020,2800,350000,hacked
Capital One,2019,51000,106000000,poor security
CardSystems Solutions Inc. (MasterCard Visa),2005,125,40000000,hacked
Cathay Pacific Airways,2018,33000,9400000,hacked
CareFirst BlueCross Blue Shield,2015,5300,1100000,hacked
Central Coast Credit Union,2016,80,60000,hacked
Central Hudson Gas & Electric,2013,1250,110000,hacked
CheckFree Corporation,2009,4600,5000000,hacked
CheckPeople,2020,200,56000000,unknown
China Software Developer Network,2011,500,6000000,hacked
Chinese gaming websites (Duowan - 7k7k - 178.com),2011,3300,10000000,hacked
Citigroup,2005,322000,3900000,lost / stolen media
Citigroup,2011,260000,360083,hacked
Citigroup,2013,251000,150000,poor security
City and Hackney Teaching Primary Care Trust,2007,1100,160000,lost / stolen media
Colorado government,2010,72000,105470,lost / stolen computer
Community Health Systems,2014,200000,4500000,hacked
Philippines Commission on Elections,2016,1212,55000000,hacked
Compass Bank,2007,11000,1000000,inside job
Countrywide Financial Corp,2006,61000,2600000,inside job
Countrywide Financial Corp,2011,44000,2500000,inside job
Centers for Medicare & Medicaid Services,2018,6100,75000,hacked
Cox Communications,2016,22000,40000,hacked
Crescent Health Inc. - Walgreens,2013,176000,100000,lost / stolen computer
Dai Nippon Printing,2007,36700,8637405,inside job
Data Processors International (MasterCard Visa),2008,850,8000000,hacked
US Department of Homeland Security,2016,240000,30000,poor security
Desjardins,2019,45000,9700000,inside job
Domino's Pizza (France),2014,1500,600000,hacked
DoorDash,2019,9200,4900000,hacked
UK Driving Standards Agency,2007,2000,3000000,lost / stolen media
Dropbox,2012,1300,68648009,hacked
Drupal,2013,1000,1000000,hacked
DSW Inc.,2005,8500,1400000,hacked
Dun & Bradstreet,2013,4800,1000000,hacked
eBay,2014,34000,145000000,hacked
Earl Enterprises,2018,6000,2000000,hacked
Educational Credit Management Corporation,2010,1400,3300000,lost / stolen media
Eisenhower Medical Center,2011,3600,514330,lost / stolen computer
ElasticSearch,2019,1500,108000000,poor security
Emergency Healthcare Physicians Ltd.,2010,1200,180111,lost / stolen media
Emory Healthcare,2012,15000,315000,poor security
Equifax,2017,10400,163119000,poor security
Evernote,2013,200,50000000,hacked
Exactis,2018,200,340000000,poor security
