Sector,URL
IT,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/IT.png
academic,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/academic.png
media,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/media.png
public sector,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/public.png
finance,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/finance.png
health,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/health.png
retail,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/retail.png
services,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/service.png
telecom,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/telecom.png
other,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-sector/other.png
